path,vendor,element_type,dims,expected_bytes,actual_bytes,consistent
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST001/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST002/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST003/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST004/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST005/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST006/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST007/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST008/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST009/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST010/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST011/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST012/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST013/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST014/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST015/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST016/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST017/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST018/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST019/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST020/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST021/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST022/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST023/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST024/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST025/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST026/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST027/oct.mhd,Spectralis,MET_USHORT,"[1024, 496, 49]",49774592,49774592,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST028/oct.mhd,Spectralis,MET_USHORT,"[512, 496, 49]",24887296,24887296,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST029/oct.mhd,Topcon,MET_UCHAR,"[512, 885, 128]",57999360,57999360,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST030/oct.mhd,Topcon,MET_UCHAR,"[512, 480, 128]",31457280,31457280,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST031/oct.mhd,Topcon,MET_UCHAR,"[512, 885, 128]",57999360,57999360,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST032/oct.mhd,Topcon,MET_UCHAR,"[512, 480, 128]",31457280,31457280,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST033/oct.mhd,Topcon,MET_UCHAR,"[512, 885, 128]",57999360,57999360,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST034/oct.mhd,Topcon,MET_UCHAR,"[512, 885, 128]",57999360,57999360,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST035/oct.mhd,Topcon,MET_UCHAR,"[512, 885, 128]",57999360,57999360,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST036/oct.mhd,Topcon,MET_UCHAR,"[512, 885, 128]",57999360,57999360,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST037/oct.mhd,Topcon,MET_UCHAR,"[512, 885, 128]",57999360,57999360,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST038/oct.mhd,Topcon,MET_UCHAR,"[512, 885, 128]",57999360,57999360,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST039/oct.mhd,Topcon,MET_UCHAR,"[512, 885, 128]",57999360,57999360,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST040/oct.mhd,Topcon,MET_UCHAR,"[512, 650, 128]",42598400,42598400,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST041/oct.mhd,Topcon,MET_UCHAR,"[512, 885, 128]",57999360,57999360,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Topcon/TEST042/oct.mhd,Topcon,MET_UCHAR,"[512, 650, 128]",42598400,42598400,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN001/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN002/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN003/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN004/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN005/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN006/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN007/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN008/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN009/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN010/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN011/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN012/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN013/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN014/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN015/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN016/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN017/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN018/oct.mhd,Cirrus,MET_UCHAR,"[512, 1024, 128]",67108864,67108864,True
