path,volume_id,slice_index,vendor,set,true_label,true_label_name,known_diseased,dataset,predicted_class,predicted_class_name,softmax_confidence,mutual_info,ood_cosine,ood_maha_combined,cp_setsize,s_condition2,defer_condition2,s_condition3,defer_condition3,s_condition4,defer_condition4,s_condition5,defer_condition5,defer_B2,accept_condition1
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/Paul_Mooney/OCT2017/test/CNV/CNV-1016042-1.jpeg,,,Kermany,test,0,CNV,True,Kermany-test,0,CNV,1.0,4.292957e-08,0.8588456,0.57480663,1,-8.344416,False,-4.379173,False,-7.266301,False,-6.43338,False,False,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/Paul_Mooney/OCT2017/test/CNV/CNV-1016042-2.jpeg,,,Kermany,test,0,CNV,True,Kermany-test,0,CNV,1.0,8.110414e-06,0.7349313,0.07590859,1,-4.9419885,False,-4.377266,False,-7.266301,False,-5.812318,False,False,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/Paul_Mooney/OCT2017/test/CNV/CNV-1016042-3.jpeg,,,Kermany,test,0,CNV,True,Kermany-test,0,CNV,1.0,7.745696e-11,0.87347627,-0.20146976,1,-9.995926,False,-4.379183,False,-7.266301,False,-7.958524,False,False,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/Paul_Mooney/OCT2017/test/CNV/CNV-1016042-4.jpeg,,,Kermany,test,0,CNV,True,Kermany-test,0,CNV,1.0,1.9978988e-06,0.8509103,0.35691625,1,-8.404777,False,-4.3787107,False,-7.266301,False,-6.7166696,False,False,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/Paul_Mooney/OCT2017/test/CNV/CNV-103044-1.jpeg,,,Kermany,test,0,CNV,True,Kermany-test,0,CNV,1.0,1.7214757e-07,0.73280764,-0.34010574,1,-5.493415,False,-4.3791423,False,-7.266301,False,-6.511118,False,False,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/Paul_Mooney/OCT2017/test/CNV/CNV-103044-10.jpeg,,,Kermany,test,0,CNV,True,Kermany-test,0,CNV,1.0,5.8505757e-06,0.6303815,0.5038833,1,-0.8009472,False,-4.3778,False,-7.266301,False,-3.8137245,False,False,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/Paul_Mooney/OCT2017/test/CNV/CNV-103044-11.jpeg,,,Kermany,test,0,CNV,True,Kermany-test,0,CNV,1.0,7.922911e-07,0.7881408,0.2446982,1,-6.471007,False,-4.378996,False,-7.266301,False,-6.158517,False,False,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/Paul_Mooney/OCT2017/test/CNV/CNV-103044-12.jpeg,,,Kermany,test,0,CNV,True,Kermany-test,0,CNV,1.0,5.644015e-09,0.8728924,0.19003528,1,-9.39052,False,-4.3791814,False,-7.266301,False,-7.2708964,False,False,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/Paul_Mooney/OCT2017/test/CNV/CNV-103044-2.jpeg,,,Kermany,test,0,CNV,True,Kermany-test,0,CNV,1.0,2.4406427e-07,0.77067477,-0.30777985,1,-6.7129364,False,-4.379125,False,-7.266301,False,-6.909417,False,False,True
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/Paul_Mooney/OCT2017/test/CNV/CNV-103044-3.jpeg,,,Kermany,test,0,CNV,True,Kermany-test,0,CNV,0.9999856,8.648075e-05,0.5871059,0.6377252,1,0.84832335,True,-4.358743,False,-7.266301,False,-3.0508356,False,False,True
